node	type
144568.0	gene
C0028326	disease
C0029882	disease
C0175704	disease
C0587248	disease
C1275081	disease
C1843181	disease
C3501846	disease
19.0	gene
C0039292	disease
C0751544	disease
C1704429	disease
C2931838	disease
C3711531	disease
C0342898	disease
C0020445	disease
C0745103	disease
C1704417	disease
C0022661	disease
C4721453	disease
C0036341	disease
C0004153	disease
C0020443	disease
C1563937	disease
C0009402	disease
C0009404	disease
C0473527	disease
DB01599	drug
5243.0	gene
C0027627	disease
C0206686	disease
C0020651	disease
C0149504	disease
C0154659	disease
C0235032	disease
C0338831	disease
C0027947	disease
C0004930	disease
C0004936	disease
C0027765	disease
C0376338	disease
C4046029	disease
C0023893	disease
C2239176	disease
C0003865	disease
C0971858	disease
C0993582	disease
C0005586	disease
C0013221	disease
C0041755	disease
C0014544	disease
C0086237	disease
C0236018	disease
C0751111	disease
C0006868	disease
C0006870	disease
C0018614	disease
C0024809	disease
C0236735	disease
C0003873	disease
C0030567	disease
C0019193	disease
C0860207	disease
C1262760	disease
C3658290	disease
C4277682	disease
C4279912	disease
C0007131	disease
C0235874	disease
C0030201	disease
C0011570	disease
C0011581	disease
C0040715	disease
C0079744	disease
C0007097	disease
C0014859	disease
C0205696	disease
C0205697	disease
C0205698	disease
C0205699	disease
C0546837	disease
C0027497	disease
C0042963	disease
C1861502	disease
C0006826	disease
C0027651	disease
C0086692	disease
C0006142	disease
C0022665	disease
C0376544	disease
C0376545	disease
C0678222	disease
C0740457	disease
C1257931	disease
C1458155	disease
C4704874	disease
C0041696	disease
C1269683	disease
C0023452	disease
C0023453	disease
C1961102	disease
C0027609	disease
C0018798	disease
C0014836	disease
C0033975	disease
C1168401	disease
C0030569	disease
C0751414	disease
C0751415	disease
C0027819	disease
C0009324	disease
C2677101	disease
DB11869	drug
DB06191	drug
DB06240	drug
DB04851	drug
9429.0	gene
C0008312	disease
C0023892	disease
C0238065	disease
C4551595	disease
C1961099	disease
C0001430	disease
C0205646	disease
C0205647	disease
C0205648	disease
C0205649	disease
C0205650	disease
C0205651	disease
C0018099	disease
C0740394	disease
C0024668	disease
C1841837	disease
145447.0	gene
55331.0	gene
C0025202	disease
C4540358	disease
9510.0	gene
C0027626	disease
C0002395	disease
C0011265	disease
C0276496	disease
C0494463	disease
C0546126	disease
C0750900	disease
C0750901	disease
11096.0	gene
C0019209	disease
30817.0	gene
C0157743	disease
C0473546	disease
C1852146	disease
C1852145	disease
10149.0	gene
C0029408	disease
C0086743	disease
C0403814	disease
57211.0	gene
C2700406	disease
C4225303	disease
133.0	gene
C0004352	disease
C0034189	disease
C0036690	disease
C0243026	disease
C1719672	disease
C0017658	disease
C1704377	disease
C0020429	disease
C0030193	disease
C0234230	disease
C0234238	disease
C0234254	disease
C0458247	disease
C0458257	disease
C0458259	disease
C0751211	disease
C0751212	disease
C0751213	disease
C0751214	disease
C0751407	disease
C0751408	disease
C2936719	disease
C0038358	disease
22850.0	gene
150.0	gene
C0020538	disease
C0030319	disease
C0086769	disease
C0525045	disease
C0020649	disease
C0018799	disease
C0001973	disease
C0016059	disease
C0018800	disease
C1383860	disease
C1623038	disease
C0271694	disease
DB00668	drug
DB00368	drug
DB00633	drug
DB00370	drug
DB00797	drug
DB01018	drug
DB00598	drug
DB00484	drug
DB06262	drug
84632.0	gene
C0007137	disease
27125.0	gene
C0000772	disease
C0005941	disease
C0009241	disease
C0018273	disease
C0024115	disease
C0028754	disease
C0282631	disease
C4085597	disease
196.0	gene
C0024623	disease
C0038356	disease
C1708349	disease
C0030297	disease
C0346647	disease
C2931037	disease
C0152013	disease
C0149721	disease
C0041955	disease
C0153619	disease
C0005974	disease
C0023903	disease
C0345904	disease
C0033578	disease
C0376358	disease
C0020564	disease
C0023895	disease
C0037997	disease
C0086565	disease
C0333641	disease
C0020578	disease
C0039231	disease
C0080203	disease
C0021364	disease
C0848676	disease
C0917731	disease
C0559470	disease
C0242339	disease
C0598784	disease
C0005683	disease
C0021368	disease
C0037116	disease
C0236811	disease
C0813142	disease
C0887800	disease
C0700501	disease
C2673809	disease
C0032285	disease
C0032300	disease
C0242706	disease
C0887898	disease
C3714636	disease
C0004943	disease
C0028043	disease
C0040332	disease
C0042373	disease
C0376384	disease
C0011616	disease
C0162351	disease
C0021655	disease
C0920563	disease
C0025517	disease
C0027540	disease
C0273115	disease
C2350344	disease
C0000786	disease
C0000822	disease
C3830362	disease
C4552766	disease
C0043094	disease
C0005612	disease
C0009319	disease
C0162834	disease
C0023890	disease
C0239946	disease
C0400966	disease
C3241937	disease
C0035334	disease
C0038002	disease
C0027659	disease
DB06083	drug
7965.0	gene
C0037769	disease
C0543888	disease
C4693912	disease
23746.0	gene
C1858386	disease
