child,parent
DB08882,A10BH05
DB08882,A10BD19
DB08882,A10BD11
DB08882,A10BD27
DB04876,A10BH02
DB04876,A10BD08
DB11992,Drug
DB01261,A10BH51
DB01261,A10BD24
DB01261,A10BD07
DB01261,A10BH01
DB01261,A10BD12
DB06335,A10BD21
DB06335,A10BD25
DB06335,A10BH03
DB06335,A10BD10
DB06203,A10BD13
DB06203,A10BD09
DB06203,A10BH04
DB15323,Drug
DB11950,A10BH08
DB15403,Drug
DB05294,L01EX04
DB12887,L01XX72
DB01236,N01AB08
DB00818,N01AX10
DB00273,N03AX11
DB01028,N02BG09
DB06119,N03AX25
DB00794,N05CB01
DB00794,N03AA03
DB06753,N05CM07
DB00292,N01AX07
DB00753,N01AB06
DB11859,Drug
DB00659,N07BB03
DB01189,N01AB07
DB01068,N03AE01
DB00404,N05BA12
DB00683,N05CD08
DB00349,N05BA09
DB00829,N05BA01
DB00425,N05CF02
DB05087,N03AX27
DB12128,Drug
DB06645,Drug
DB14870,Drug
DB13074,V04CD06
DB00262,L01AD01
DB03310,Drug
DB06603,L01XH03
DB06176,L01XH02
DB05015,L01XH04
DB12565,Drug
DB11841,L01XH05
DB12291,Drug
DB11830,Drug
DB13679,R06AB52
DB13679,R06AB02
DB00341,S01GX12
DB00341,R06AE07
DB00972,R06AX19
DB00972,S01GX07
DB00972,R01AC03
DB06282,R06AE09
DB00985,R06AA11
DB00283,D04AA14
DB00283,R06AA54
DB00283,R06AA04
DB01069,R06AD52
DB01069,D04AA10
DB01069,V03AB05
DB01069,R06AD02
DB00748,R06AA08
DB00557,N05BB01
DB00557,N05BB51
DB01246,R06AD01
DB11591,S01GX13
DB11591,R06AX29
DB00950,R06AX26
DB06766,S01GX11
DB00768,S01GX09
DB00768,R01AC08
DB12522,Drug
DB15027,Drug
DB11699,A04AA03
DB01233,A03FA01
DB11675,A03FA09
DB00904,A04AA01
DB09290,Drug
DB00377,A04AA55
DB00377,A04AA05
DB13256,N05AH06
DB04832,N06AB02
DB06288,N05AL05
DB01191,A08AA04
DB05983,Drug
DB06637,N07XX07
DB04953,N03AX21
DB00536,Drug
DB11640,N07XX05
DB04878,A10BF03
DB06580,Drug
DB00331,A10BD23
DB00331,A10BD02
DB00331,A10BD18
DB00331,A10BD11
DB00331,A10BD25
DB00331,A10BA02
DB00331,A10BD22
