identifier,logFC,logCPM,p-Value,FDR
LOC729609,7.215266608,-2.416418046,0,0.046169945
LOC105374060,6.945363043,-2.824987542,0,0.088412068
DMP1,6.778765261,-2.910193384,0,0.088412068
PNLIP,6.767554114,-2.988556229,0,0.088412068
OR4N3P,6.717608811,-2.367165634,0,0.046169945
SLC6A14,6.68885901,-2.321100886,0,0.069878478
LOC101927239,6.561069877,-3.039402119,0,0.098637193
DEFB105A,6.239889032,-3.287848006,0.001,0.164157572
DEFB105B,6.23988504,-3.287848006,0.001,0.164157572
GSTTP1,6.215596059,-3.406538181,0,0.153520867
NEUROD1,6.112788467,-2.67891916,0,0.0848162
RND1,6.013115096,2.752588229,0,0.048241738
VN1R10P,6.006844957,-3.35912193,0.001,0.168559697
LOC440446,5.987781548,-2.794482476,0,0.0848162
LOC152225,5.844001699,-1.547412045,0.001,0.168559697
LOC101929341,5.842279868,-3.644836291,0.001,0.183323896
PGLYRP3,5.81021604,-3.524908482,0.001,0.183323896
LINC01533,5.803246567,-3.583942824,0.001,0.170974003
LINC01090,5.582069824,-3.620749017,0.001,0.183323896
SPEM1,5.578551172,-3.543967487,0.001,0.186660229
C16orf82,5.533063634,-2.003699796,0.001,0.160492354
MIR4432HG,5.40422087,-2.552302465,0.001,0.186976234
LINC01169,5.395488909,-3.304272132,0.001,0.168559697
FAM71A,5.371569493,0.536202734,0.001,0.168559697
RNASE10,5.341635778,-3.73211265,0.001,0.168559697
KLF17,5.283778661,-3.038633218,0.001,0.183323896
C9,5.27936125,-2.89093301,0.001,0.183323896
ARC,5.186736098,3.296258134,0,0.04276902
MYL10,5.156592805,-1.780583397,0,0.153520867
GCM1,5.106193985,-1.54943633,0.001,0.180518398
AIPL1,5.041057917,-1.130489935,0,0.099088676
HSPA6,4.899551188,5.664502033,0,0.048241738
LOC101929124,4.857708362,-2.07826458,0,0.153520867
C7orf65,4.820916486,-1.851338432,0.001,0.160492354
SLC2A14,4.812492961,2.465534365,0,0.0848162
PNLIPRP2,4.768340909,-3.521338325,0.001,0.180319611
NPAS4,4.711532643,0.171048137,0.001,0.160492354
LOC101060498,4.697800006,-2.763575111,0.001,0.189128919
PROP1,4.690553442,-3.042813254,0.001,0.186976234
ELAVL3,4.647002214,-0.241454119,0.001,0.168559697
LOC105747689,4.600069721,-1.874817575,0.001,0.164157572
TNF,4.546387975,1.234001977,0,0.053601726
ADAMTS4,4.498148588,3.634458462,0,0.048241738
PCDH10,4.480133374,1.007927056,0,0.053601726
LOC101927274,4.384771024,-2.761198746,0.001,0.186660229
NR4A2,4.307845817,3.421854906,0,0.0848162
LOC102724612,4.267697788,-2.584388546,0.001,0.180319611
CEACAM22P,4.111117102,-2.691020189,0.001,0.168559697
SNAI1,4.072079242,1.210210445,0,0.04276902
SLC2A3,3.950498029,4.726122885,0,0.083296721
DLX3,3.923658763,-2.157689978,0.001,0.183323896
ID2,3.909731758,4.754655912,0,0.0848162
LOC151475,3.904157709,-2.707893145,0.001,0.160492354
ATF3,3.881488521,5.144426675,0,0.07482021
NKAIN4,3.717418159,-2.62886127,0.001,0.186660229
ASAP1-IT2,3.714293071,-2.328443666,0.001,0.160492354
NOXRED1,3.517891626,-2.894052859,0.001,0.157245309
DNM1P41,3.433957854,1.102789025,0,0.048241738
SLC7A11,3.394121761,0.792433732,0,0.054086568
C10orf82,3.393681998,-3.401441825,0.001,0.160492354
ULBP2,3.267748602,-1.572804263,0.001,0.168559697
TPTE2P6,3.14917577,-2.09808485,0.001,0.168559697
NR4A3,3.101303366,4.513794193,0,0.099088676
LOC399715,3.09843427,-0.477671921,0,0.088412068
CNTN3,3.043467272,-1.456689024,0,0.040969856
GEM,2.979914784,2.69659436,0,0.0848162
HSPA7,2.91589555,4.693613037,0,0.122158329
NCMAP,2.907123703,-1.450694931,0.001,0.186660229
PNP,2.899264618,3.333543695,0,0.110779913
PLK2,2.849210542,5.025338255,0,0.106243773
ATP2C2,2.826416519,-2.157016337,0.001,0.189128919
TNFRSF10D,2.815152846,2.366654249,0,0.088412068
ULBP3,2.7994827,-1.330176271,0.001,0.164157572
HSPA5,2.76740494,8.239093569,0,0.110779913
EFHB,2.763053719,-1.976638134,0.001,0.186660229
