Top,drug,name,avg_prob
1,DB00683,MIDAZOLAM,[0.9440085]
2,DB00829,DIAZEPAM,[0.9406353]
3,DB00349,CLOBAZAM,[0.9371684]
4,DB01068,CLONAZEPAM,[0.9351942]
5,DB00273,TOPIRAMATE,[0.9265679]
6,DB00404,ALPRAZOLAM,[0.9241266]
7,DB05087,GANAXOLONE,[0.91857755]
8,DB11640,AMIFAMPRIDINE,[0.909465]
9,DB04953,EZOGABINE,[0.9051979]
10,DB00536,GUANIDINE,[0.9038278]
11,DB00776,OXCARBAZEPINE,[0.8936418]
12,DB00425,ZOLPIDEM,[0.89013994]
13,DB06637,DALFAMPRIDINE,[0.88933754]
14,DB00975,DIPYRIDAMOLE,[0.8886756]
15,DB00806,PENTOXIFYLLINE,[0.88661635]
16,DB00818,PROPOFOL,[0.88616437]
17,DB09119,ESLICARBAZEPINE ACETATE,[0.8848246]
18,DB00909,ZONISAMIDE,[0.8844916]
19,DB11841,ENTINOSTAT,[0.88320893]
20,DB06119,CENOBAMATE,[0.8786211]
21,DB01236,SEVOFLURANE,[0.8785405]
22,DB00331,METFORMIN,[0.8785372]
23,DB00754,ETHOTOIN,[0.87653744]
24,DB11759,PEVONEDISTAT,[0.8763644]
25,DB12291,TACEDINALINE,[0.8736192]
26,DB00555,LAMOTRIGINE,[0.8722356]
27,DB12565,ABEXINOSTAT,[0.8708083]
28,DB05015,BELINOSTAT,[0.87077534]
29,DB00296,ROPIVACAINE,[0.8707711]
30,DB00280,DISOPYRAMIDE,[0.8693016]
31,DB00908,QUINIDINE,[0.8691158]
32,DB11830,MOCETINOSTAT,[0.8690294]
33,DB00281,LIDOCAINE,[0.8685277]
34,DB06603,PANOBINOSTAT,[0.86657494]
35,DB06176,ROMIDEPSIN,[0.86214507]
36,DB06595,MIDOSTAURIN,[0.8553526]
37,DB00907,COCAINE,[0.8499158]
38,DB12944,PHLOROGLUCINOL,[0.8406415]
39,DB02712,SORBINIL,[0.83891773]
40,DB06580,CELGOSIVIR,[0.8374589]
41,DB12105,IMAGABALIN,[0.8372334]
42,DB04878,VOGLIBOSE,[0.83597505]
43,DB12745,GSK-690693,[0.83558446]
44,DB13725,TERODILINE,[0.8347534]
45,DB02383,TOLRESTAT,[0.8313972]
46,DB15293,EPALRESTAT,[0.8303415]
47,DB15357,XANOMELINE,[0.82744104]
48,DB00794,PRIMIDONE,[0.81673175]
49,DB12032,ATAGABALIN,[0.80527765]
50,DB11893,AVAGACESTAT,[0.8046438]
51,DB01148,FLAVOXATE,[0.8038496]
52,DB12463,SEMAGACESTAT,[0.8027171]
53,DB12233,IGURATIMOD,[0.8017267]
54,DB12005,NIROGACESTAT,[0.78593856]
55,DB05289,TARENFLURBIL,[0.7816204]
56,DB01028,METHOXYFLURANE,[0.7784806]
57,DB08329,SULTHIAME,[0.7754406]
58,DB15170,EVOBRUTINIB,[0.77252084]
59,DB01115,NIFEDIPINE,[0.7655078]
60,DB01244,BEPRIDIL,[0.75839424]
61,DB04944,ACADESINE,[0.7429437]
62,DB09053,IBRUTINIB,[0.73962575]
63,DB01189,DESFLURANE,[0.73924655]
64,DB15327,ABIVERTINIB,[0.7390954]
65,DB05983,BARDOXOLONE METHYL,[0.7378661]
66,DB01023,FELODIPINE,[0.73678017]
67,DB12209,TIRASEMTIV,[0.7317957]
68,DB00659,ACAMPROSATE,[0.73092735]
69,DB00622,NICARDIPINE,[0.7282134]
70,DB00753,ISOFLURANE,[0.71821827]
71,DB14723,LAROTRECTINIB,[0.7168412]
72,DB06775,CARGLUMIC ACID,[0.71429235]
73,DB00292,ETOMIDATE,[0.7085957]
74,DB11991,OPROZOMIB,[0.7082633]
75,DB00661,VERAPAMIL,[0.7053665]
76,DB12887,TAZEMETOSTAT,[0.7052487]
77,DB11703,ACALABRUTINIB,[0.7048265]
78,DB06586,CETILISTAT,[0.6996364]
79,DB01083,ORLISTAT,[0.69951725]
80,DB04855,DRONEDARONE,[0.69420815]
81,DB00401,NISOLDIPINE,[0.6941861]
82,DB00393,NIMODIPINE,[0.6937209]
83,DB11859,BREXANOLONE,[0.6921925]
84,DB15499,CERDULATINIB,[0.682028]
85,DB00381,AMLODIPINE,[0.67279875]
86,DB12686,PHA-793887,[0.669114]
87,DB06753,TRICLOFOS,[0.66861737]
88,DB08142,AT-7519,[0.66729593]
89,DB15035,ZANUBRUTINIB,[0.66525483]
90,DB14870,PF-5190457,[0.6629051]
91,DB06645,ANAMORELIN,[0.66118217]
92,DB11699,TROPISETRON,[0.6578128]
93,DB00511,ACETYLDIGITOXIN,[0.6568133]
94,DB12353,ULODESINE,[0.64670867]
95,DB12128,ULIMORELIN,[0.64576924]
96,DB00270,ISRADIPINE,[0.6436097]
97,DB00341,CETIRIZINE,[0.6425561]
98,DB00343,DILTIAZEM,[0.63907206]
99,DB01233,METOCLOPRAMIDE,[0.6369086]
100,DB06185,FORODESINE,[0.6364609]
